iter	MultiClass
475	0.429536968
476	0.4294842944
477	0.4294399497
478	0.4294022908
479	0.4293674061
480	0.4293353741
481	0.4292972201
482	0.4292377697
483	0.4291955436
484	0.4291460208
485	0.4291121118
486	0.4290567518
487	0.4290166191
488	0.4289586219
489	0.428914954
490	0.4288613449
491	0.4288249038
492	0.4287596573
493	0.4287109233
494	0.4286908862
495	0.4286589225
496	0.4286091901
497	0.4285359661
498	0.4285269169
499	0.428524377
500	0.4284929028
501	0.4284488733
502	0.4284245419
503	0.4283759846
504	0.4283479665
505	0.4282991575
506	0.4282517996
507	0.4282208136
508	0.4281802679
509	0.4281698322
510	0.4281432796
511	0.4280707514
512	0.4280293458
513	0.427997043
514	0.4279322275
515	0.4279164806
516	0.4278855187
517	0.4278232997
518	0.4277738128
519	0.4277439674
520	0.4276539459
521	0.427647132
522	0.4275901172
523	0.4275140191
524	0.4274800647
525	0.4274563622
526	0.4274162699
527	0.427386717
528	0.4273506726
529	0.4272931624
530	0.4272529662
531	0.4272077788
532	0.4271527701
533	0.4271214755
534	0.4270538234
535	0.4270002155
536	0.4269574049
537	0.4269034891
538	0.4268441439
539	0.4268112324
540	0.4268090789
541	0.4267975823
542	0.426752432
543	0.4267196584
544	0.4266635853
545	0.4266385196
546	0.4266157868
547	0.4265743933
548	0.4265369088
549	0.4264791433
550	0.4264244352
551	0.426390976
552	0.4263570779
553	0.4263101741
554	0.4262789916
555	0.426185767
556	0.4261638054
557	0.4261421746
558	0.4261257799
559	0.4260898705
560	0.4260404545
561	0.4259783993
562	0.4259473528
563	0.4259411
564	0.4259123015
565	0.4258689902
566	0.4258075758
567	0.4257946623
568	0.4256970227
569	0.4256695619
570	0.4256039471
571	0.4256005431
572	0.4255586869
573	0.4255408464
574	0.4254949982
575	0.425464137
576	0.4254194901
577	0.4253260924
578	0.4252785378
579	0.4252551037
580	0.4252203602
581	0.4251945114
582	0.4251545755
583	0.4251173129
584	0.4250635808
585	0.4249981659
586	0.4249503269
587	0.4248914138
588	0.4248710297
589	0.4248340189
590	0.4247831106
591	0.4247506027
592	0.4247138227
593	0.4246760402
594	0.4246316365
595	0.424614272
596	0.42458283
597	0.4245524978
598	0.4245246158
599	0.4245006026
600	0.424476722
601	0.4244599241
602	0.4244123771
603	0.424401809
604	0.4243731363
605	0.4243066589
606	0.424281338
607	0.4242702894
608	0.4242236938
609	0.4241683281
610	0.4241219702
611	0.424095823
612	0.4240504734
613	0.4240199367
614	0.4239958623
615	0.4239403832
616	0.4239367528
617	0.4239138761
618	0.4238710367
619	0.423855814
620	0.4238185179
621	0.4237784768
622	0.4237486996
623	0.4237340069
624	0.4237028999
625	0.4236759912
626	0.4236469903
627	0.423620596
628	0.4235977262
629	0.4235509358
630	0.4234874996
631	0.4234404429
632	0.4233969549
633	0.4233614903
634	0.423344963
635	0.4232949701
636	0.4232525653
637	0.4232453123
638	0.4232170265
639	0.4231841772
640	0.4231359253
641	0.4230922703
642	0.423057403
643	0.4230472038
644	0.4230188418
645	0.42300728
646	0.4229771472
647	0.4229684713
648	0.4229278049
649	0.4229127844
650	0.4229010605
651	0.4228343713
652	0.4227953414
653	0.4227576054
654	0.4226849791
655	0.4226446998
656	0.4225924533
657	0.4225526151
658	0.4225125314
659	0.4224764596
660	0.4224305416
661	0.4223986648
662	0.4223638086
663	0.4223123699
664	0.4222763145
665	0.4222570213
666	0.4222169399
667	0.4221970041
668	0.4221548533
669	0.4221280836
670	0.4220957767
671	0.4220667577
672	0.4220221299
673	0.4220008156
674	0.4219866405
675	0.4219674119
676	0.4219357154
677	0.4219296568
678	0.4219153882
679	0.4218955097
680	0.4218686697
681	0.4218130113
682	0.4217786959
683	0.4217520711
684	0.4217174341
685	0.4216468868
686	0.4216228099
687	0.4216051101
688	0.4215835329
689	0.4215432996
690	0.4215127078
691	0.4214693255
692	0.4214522705
693	0.42142505
694	0.4214103492
695	0.4213854562
696	0.4213566091
697	0.4213321127
698	0.4212958581
699	0.421274932
700	0.4212401104
701	0.4212149064
702	0.4211827477
703	0.4211751668
704	0.4211514787
705	0.4211105038
706	0.4210611879
707	0.4210167379
708	0.4209633819
709	0.420927459
710	0.4208968921
711	0.4208579945
712	0.4208557065
713	0.4207846068
714	0.4207742912
715	0.4207656349
716	0.4207489674
717	0.4207360949
718	0.4206889094
719	0.4206740439
720	0.4206475863
721	0.4206186058
722	0.42060132
723	0.4205718579
724	0.4205300963
725	0.4205126165
726	0.4204876617
727	0.42048053
728	0.4204667892
729	0.4204383414
730	0.4204082205
731	0.4203720824
732	0.4203504251
733	0.4202944244
734	0.4202678639
735	0.4202355276
736	0.4202197405
737	0.4201837812
738	0.4201636546
739	0.4201152494
740	0.4200846894
741	0.4200359076
742	0.4200258526
743	0.4200030875
744	0.4199942074
745	0.419990721
746	0.4199385957
747	0.4199210275
748	0.4198969365
749	0.419848226
750	0.4198257423
751	0.4198210611
752	0.4198053934
753	0.4197938033
754	0.4197518881
755	0.4197356832
756	0.4196864457
757	0.4196667721
758	0.4196213417
759	0.4195906036
760	0.419526438
761	0.4194882539
762	0.4194393043
763	0.4193960962
764	0.4193812929
765	0.4193445852
766	0.4193403704
767	0.4193312111
768	0.4192874828
769	0.4192683638
770	0.4192503261
771	0.4191901249
772	0.4191787791
773	0.4191485221
774	0.4191048747
775	0.4190741614
776	0.4190364417
777	0.4189968359
778	0.4189753602
779	0.4189547983
780	0.4189463104
781	0.4189106652
782	0.4188865838
783	0.4188491036
784	0.4188058005
785	0.4187768365
786	0.4187493238
787	0.4187398502
788	0.4187240686
789	0.4187057962
790	0.4186980196
791	0.4186696741
792	0.4186577429
793	0.4186422751
794	0.4185979188
795	0.4185709383
796	0.4185376699
797	0.4185256526
798	0.4184861124
799	0.4184262358
800	0.4184048734
801	0.4183885567
802	0.4183680371
803	0.4183381276
804	0.4182977512
805	0.4182671857
806	0.4182351268
807	0.4182066172
808	0.418161683
809	0.4181131829
810	0.4181100901
811	0.4180935389
812	0.418088479
813	0.4180729964
814	0.4180515958
815	0.4180220394
816	0.4180179613
817	0.4180042142
818	0.4179732415
819	0.4179523483
820	0.4179371289
821	0.4179267544
822	0.417895988
823	0.4178784516
824	0.4178516527
825	0.4178307237
826	0.417791229
827	0.4177826871
828	0.4177635114
829	0.4177170471
830	0.4177032052
831	0.4176844533
832	0.4176508369
833	0.4176301493
834	0.4176206775
835	0.4176028202
836	0.4175995672
837	0.4175721509
838	0.4175228144
839	0.417501291
840	0.4174910831
841	0.4174489642
842	0.4174022098
843	0.4173809317
844	0.4173648322
845	0.4173342694
846	0.417298326
847	0.4172747348
848	0.4172386196
849	0.4171981563
850	0.4171632824
851	0.4171203468
852	0.4171062302
853	0.4170733802
854	0.4170433313
855	0.4170359516
856	0.4169853367
857	0.4169415685
858	0.4169232114
859	0.4168997658
860	0.4168659312
861	0.4168353618
862	0.4168114922
