iter	Passed	Remaining
407	4348	4849
408	4358	4837
409	4369	4827
410	4380	4817
411	4389	4805
412	4396	4790
413	4405	4778
414	4414	4765
415	4424	4754
416	4435	4743
417	4443	4730
418	4452	4717
419	4460	4704
420	4471	4694
421	4482	4684
422	4491	4672
423	4501	4660
424	4510	4648
425	4519	4636
426	4528	4623
427	4541	4615
428	4548	4601
429	4557	4589
430	4566	4577
431	4576	4565
432	4585	4553
433	4597	4544
434	4609	4535
435	4619	4524
436	4626	4510
437	4635	4498
438	4645	4487
439	4656	4476
440	4664	4463
441	4674	4452
442	4682	4439
443	4691	4427
444	4702	4417
445	4711	4405
446	4724	4396
447	4733	4385
448	4743	4373
449	4750	4359
450	4758	4346
451	4769	4336
452	4777	4323
453	4784	4310
454	4792	4297
455	4800	4284
456	4809	4272
457	4819	4262
458	4829	4250
459	4839	4239
460	4848	4227
461	4859	4217
462	4869	4206
463	4880	4196
464	4891	4186
465	4899	4174
466	4910	4163
467	4921	4153
468	4930	4141
469	4941	4131
470	4956	4125
471	4966	4114
472	4974	4101
473	4983	4089
474	4995	4080
475	5004	4068
476	5013	4057
477	5022	4045
478	5031	4033
479	5040	4021
480	5048	4009
481	5063	4002
482	5074	3992
483	5085	3982
484	5096	3971
485	5106	3961
486	5115	3949
487	5124	3937
488	5133	3926
489	5142	3914
490	5151	3902
491	5160	3891
492	5170	3880
493	5181	3870
494	5188	3857
495	5197	3845
496	5207	3834
497	5218	3824
498	5228	3814
499	5237	3802
500	5246	3791
501	5256	3780
502	5266	3768
503	5278	3759
504	5289	3749
505	5300	3739
506	5308	3727
507	5317	3715
508	5325	3703
509	5335	3692
510	5343	3680
511	5352	3669
512	5361	3658
513	5369	3646
514	5379	3635
515	5387	3622
516	5398	3612
517	5410	3603
518	5424	3595
519	5436	3585
520	5445	3574
521	5456	3564
522	5466	3553
523	5475	3542
524	5485	3531
525	5492	3519
526	5499	3506
527	5508	3495
528	5519	3485
529	5529	3474
530	5540	3464
531	5551	3453
532	5560	3442
533	5569	3431
534	5581	3421
535	5592	3411
536	5604	3402
537	5615	3392
538	5627	3382
539	5637	3372
540	5648	3361
541	5656	3349
542	5668	3340
543	5678	3330
544	5689	3319
545	5697	3308
546	5705	3296
547	5715	3285
548	5724	3273
549	5737	3264
550	5749	3255
551	5758	3244
552	5766	3232
553	5776	3222
554	5787	3211
555	5796	3200
556	5805	3189
557	5815	3178
558	5824	3167
559	5836	3158
560	5849	3148
561	5859	3138
562	5867	3126
563	5873	3114
564	5882	3102
565	5890	3091
566	5900	3080
567	5908	3068
568	5918	3058
569	5927	3047
570	5937	3036
571	5945	3024
572	5956	3014
573	5965	3003
574	5975	2992
575	5986	2983
576	5997	2972
577	6009	2963
578	6019	2952
579	6031	2942
580	6041	2932
581	6051	2921
582	6059	2910
583	6069	2899
584	6079	2888
585	6089	2878
586	6099	2867
587	6108	2856
588	6115	2845
589	6126	2834
590	6135	2823
591	6143	2812
592	6153	2801
593	6163	2791
594	6173	2780
595	6184	2770
596	6193	2759
597	6203	2749
598	6213	2738
599	6221	2727
600	6229	2715
601	6237	2704
602	6246	2693
603	6254	2682
604	6265	2671
605	6278	2662
606	6290	2652
607	6297	2641
608	6309	2631
609	6320	2621
610	6330	2610
611	6340	2600
612	6351	2590
613	6359	2578
614	6366	2567
615	6377	2557
616	6386	2546
617	6398	2536
618	6412	2527
619	6424	2518
620	6436	2508
621	6450	2499
622	6466	2491
623	6479	2481
624	6490	2471
625	6502	2461
626	6517	2453
627	6529	2443
628	6540	2433
629	6550	2422
630	6564	2413
631	6574	2403
632	6585	2392
633	6593	2381
634	6602	2370
635	6611	2359
636	6623	2349
637	6634	2339
638	6644	2329
639	6654	2318
640	6663	2307
641	6673	2297
642	6682	2286
643	6690	2275
644	6703	2265
645	6714	2255
646	6724	2244
647	6736	2234
648	6744	2223
649	6753	2213
650	6762	2202
651	6772	2191
652	6781	2180
653	6790	2170
654	6800	2159
655	6809	2148
656	6821	2138
657	6832	2128
658	6845	2119
659	6854	2108
660	6864	2097
661	6875	2087
662	6885	2077
663	6898	2067
664	6908	2056
665	6915	2045
666	6924	2034
667	6933	2023
668	6945	2014
669	6956	2003
670	6965	1993
671	6973	1982
672	6982	1971
673	6991	1960
674	6998	1949
675	7006	1938
676	7016	1927
677	7025	1916
678	7032	1905
679	7041	1894
680	7052	1884
681	7063	1874
682	7071	1863
683	7080	1852
684	7090	1842
685	7100	1831
686	7108	1821
687	7118	1810
688	7127	1800
689	7141	1790
690	7150	1779
691	7159	1769
692	7173	1759
693	7185	1749
694	7196	1739
695	7206	1729
696	7214	1718
697	7222	1707
698	7231	1696
699	7240	1686
700	7251	1675
701	7262	1665
702	7271	1654
703	7281	1644
704	7293	1634
705	7305	1624
706	7313	1613
707	7323	1603
708	7333	1592
709	7341	1582
710	7350	1571
711	7360	1561
712	7369	1550
713	7379	1540
714	7391	1530
715	7401	1519
716	7413	1509
717	7424	1499
718	7433	1488
719	7446	1478
720	7455	1468
721	7463	1457
722	7470	1446
723	7480	1436
724	7492	1426
725	7501	1415
726	7514	1405
727	7524	1395
728	7531	1384
729	7540	1373
730	7549	1363
731	7557	1352
732	7565	1341
733	7574	1331
734	7584	1320
735	7592	1310
736	7600	1299
737	7613	1289
738	7623	1279
739	7636	1269
740	7643	1258
741	7653	1248
742	7660	1237
743	7668	1226
744	7676	1215
745	7685	1205
746	7697	1195
747	7709	1185
748	7720	1175
749	7730	1164
750	7738	1154
751	7747	1143
752	7757	1133
753	7766	1122
754	7776	1112
755	7787	1102
756	7797	1091
757	7807	1081
758	7816	1070
759	7826	1060
760	7838	1050
761	7849	1040
762	7857	1029
763	7867	1019
764	7875	1008
765	7884	998
766	7894	988
767	7903	977
768	7913	967
769	7921	956
770	7931	946
771	7940	935
772	7949	925
773	7958	915
774	7967	904
775	7975	894
776	7984	883
777	7993	873
778	8002	862
779	8014	852
780	8023	842
781	8033	832
782	8043	821
783	8055	811
784	8064	801
785	8073	790
786	8081	780
787	8089	769
788	8096	759
789	8104	748
790	8111	738
791	8121	728
792	8131	717
793	8141	707
794	8153	697
795	8161	686
796	8171	676
797	8180	666
798	8190	656
799	8201	645
800	8214	635
801	8225	625
802	8235	615
803	8243	604
804	8251	594
805	8259	584
806	8273	574
807	8285	563
808	8295	553
809	8305	543
810	8319	533
811	8329	523
812	8338	512
813	8346	502
814	8354	492
815	8363	481
816	8371	471
817	8379	460
818	8390	450
819	8398	440
820	8408	430
821	8415	419
822	8424	409
823	8434	399
824	8446	389
825	8457	378
826	8468	368
827	8477	358
828	8486	348
829	8500	337
830	8510	327
831	8517	317
832	8527	307
833	8536	296
834	8545	286
835	8553	276
836	8560	265
837	8572	255
838	8582	245
839	8594	235
840	8605	225
841	8620	215
842	8629	204
843	8638	194
844	8649	184
845	8661	174
846	8671	163
847	8679	153
848	8688	143
849	8697	133
850	8706	122
851	8716	112
852	8729	102
